"Participant","Trial","Stimulus","Condition","TrialType","Accuracy","RT"
"sub-001",95,"Dog","Abstract","Old",1,370.584841651796
"sub-001",96,"Road","Concrete","Old",1,198.458557975524
"sub-001",97,"School","Concrete","New",1,276.759965297397
"sub-001",98,"Gratitude","Abstract","Old",1,540.695015447404
"sub-001",99,"Computer","Abstract","New",0,473.824094079183
"sub-001",100,"Mountain","Abstract","Old",1,490.281063097849
"sub-002",1,"Beach","Abstract","Old",1,199.834736409337
"sub-002",2,"Chair","Abstract","Old",0,562.772960894392
"sub-002",3,"Window","Concrete","New",0,378.691566401049
"sub-002",4,"Love","Concrete","New",1,745.489102207139
"sub-002",5,"Creativity","Abstract","New",1,333.359558771976
"sub-002",6,"Park","Abstract","New",1,674.844182528074
"sub-002",7,"Garden","Concrete","Old",1,868.782157309447
"sub-002",8,"Apple","Abstract","Old",0,554.967472184168
"sub-002",9,"Lamp","Concrete","New",0,625.872486056608
"sub-002",10,"Patience","Concrete","Old",1,606.815424896172
"sub-002",11,"Shoe","Concrete","Old",1,605.891722461397
"sub-002",12,"Chair","Concrete","Old",0,391.982741650238
"sub-002",13,"Car","Abstract","New",1,681.252914438789
"sub-002",14,"Gratitude","Concrete","New",1,45.4107737330444
"sub-002",15,"House","Abstract","Old",1,583.282722541895
"sub-002",16,"Tree","Concrete","New",1,313.063017092277
"sub-002",17,"Window","Abstract","New",1,492.02387217369
"sub-002",18,"Knowledge","Abstract","New",1,672.120091920109
"sub-002",19,"Bridge","Concrete","Old",1,635.6977376751
"sub-002",20,"Integrity","Abstract","Old",1,743.286531367554
"sub-002",21,"Bridge","Abstract","Old",1,196.155553983645
"sub-002",22,"Compassion","Abstract","New",1,1092.31327333065
"sub-002",23,"Friendship","Abstract","Old",1,534.072929945817
"sub-002",24,"Dog","Concrete","Old",1,281.124918571687
"sub-002",25,"Train","Abstract","New",0,527.265332472434
"sub-002",26,"Lamp","Abstract","New",1,598.745133388655
"sub-002",27,"Park","Concrete","New",1,730.305115226221
"sub-002",28,"River","Concrete","New",1,137.954731300775
"sub-002",29,"Honesty","Abstract","New",1,359.639732904645
"sub-002",30,"Camera","Abstract","New",1,502.635223366456
"sub-002",31,"Book","Abstract","Old",0,634.011949576263
"sub-002",32,"Wisdom","Abstract","Old",1,245.525460190076
"sub-002",33,"Car","Concrete","New",0,453.883172361203
"sub-002",34,"Garden","Abstract","Old",1,587.29816240573
"sub-002",35,"Patience","Abstract","Old",1,409.005941627955
"sub-002",36,"Hope","Abstract","New",1,365.089506257114
"sub-002",37,"Success","Concrete","New",1,34.2447716886033
"sub-002",38,"School","Concrete","New",0,471.288471922267
"sub-002",39,"Justice","Abstract","Old",1,365.511412804927
"sub-002",40,"School","Abstract","New",1,788.113338107626
"sub-002",41,"Success","Abstract","New",1,523.948586911533
"sub-002",42,"Boat","Concrete","Old",0,779.488057061987
"sub-002",43,"Hospital","Concrete","New",1,189.642566007066
"sub-002",44,"Freedom","Abstract","Old",1,386.10792984111
"sub-002",45,"Road","Abstract","Old",1,713.457457567987
"sub-002",46,"Generosity","Concrete","Old",1,620.590473861631
"sub-002",47,"Mountain","Concrete","Old",0,772.131876659129
"sub-002",48,"Integrity","Concrete","Old",1,877.725646628556
"sub-002",49,"Honesty","Concrete","New",1,364.16706700646
"sub-002",50,"Phone","Concrete","New",1,182.311716568295
"sub-002",51,"Gratitude","Abstract","New",1,479.002568303126
"sub-002",52,"Loyalty","Abstract","New",1,568.085536328618
"sub-002",53,"Generosity","Abstract","Old",1,818.881613483143
"sub-002",54,"Loyalty","Concrete","New",1,133.447955256711
"sub-002",55,"Courage","Concrete","Old",1,402.386173234999
"sub-002",56,"Peace","Concrete","Old",1,556.92645469545
"sub-002",57,"Justice","Concrete","Old",1,647.79417162656
"sub-002",58,"Hospital","Abstract","New",1,910.064377733757
"sub-002",59,"Computer","Abstract","New",1,188.761901049993
"sub-002",60,"Compassion","Concrete","New",1,338.093957360004
"sub-002",61,"Happiness","Concrete","New",1,960.371333127232
"sub-002",62,"Trust","Concrete","New",1,292.41617214847
"sub-002",63,"Humility","Concrete","New",1,204.566477466903
"sub-002",64,"Phone","Abstract","New",1,651.924334534624
"sub-002",65,"Beach","Concrete","Old",1,674.909360538209
"sub-002",66,"Wisdom","Concrete","Old",1,188.438598144627
"sub-002",67,"Road","Concrete","Old",0,368.573709433095
"sub-002",68,"Determination","Concrete","Old",1,126.758789051507
"sub-002",69,"Computer","Concrete","New",1,146.372761935303
"sub-002",70,"House","Concrete","Old",1,460.90018577383
"sub-002",71,"Dog","Abstract","Old",1,883.3252673659
"sub-002",72,"Respect","Concrete","New",1,582.293076455608
"sub-002",73,"Peace","Abstract","Old",1,680.861881742297
"sub-002",74,"River","Abstract","New",1,742.843197793626
"sub-002",75,"Tree","Abstract","New",1,691.836142043905
"sub-002",76,"Shoe","Abstract","Old",1,836.850631650522
"sub-002",77,"Book","Concrete","Old",0,629.275694749854
"sub-002",78,"Creativity","Concrete","New",1,902.268361214708
"sub-002",79,"Ambition","Abstract","Old",1,623.857283591018
"sub-002",80,"Faith","Concrete","Old",1,467.18984670621
"sub-002",81,"Ambition","Concrete","Old",1,254.265511517898
"sub-002",82,"Hope","Concrete","New",1,438.142180327664
"sub-002",83,"Happiness","Abstract","New",1,1213.28290377509
"sub-002",84,"Friendship","Concrete","Old",1,345.449375211526
"sub-002",85,"Table","Concrete","Old",0,673.036501043158
"sub-002",86,"Faith","Abstract","Old",1,697.002953221644
"sub-002",87,"Knowledge","Concrete","New",1,809.264160652615
"sub-002",88,"Mountain","Abstract","Old",0,338.93881796995
"sub-002",89,"Apple","Concrete","Old",0,445.085242049853
"sub-002",90,"Table","Abstract","Old",0,483.835092778535
"sub-002",91,"Camera","Concrete","New",1,650.751507842852
"sub-002",92,"Trust","Abstract","New",1,481.998087453944
"sub-002",93,"Courage","Abstract","Old",1,222.261534401975
"sub-002",94,"Humility","Abstract","New",1,669.757517635667
"sub-002",95,"Respect","Abstract","New",1,450.682682850968
"sub-002",96,"Train","Concrete","New",0,447.500902093737
"sub-002",97,"Determination","Abstract","Old",1,396.026344145741
"sub-002",98,"Love","Abstract","New",1,546.196540500366
"sub-002",99,"Freedom","Concrete","Old",1,130.67101261695
"sub-002",100,"Boat","Abstract","Old",1,828.226062118578
"sub-003",1,"Freedom","Concrete","Old",1,435.126538386518
"sub-003",2,"Garden","Concrete","New",1,521.211385144558
"sub-003",3,"Camera","Abstract","New",1,498.159910571328
"sub-003",4,"Happiness","Abstract","New",1,258.695627399949
"sub-003",5,"Happiness","Concrete","New",1,564.382495236652
"sub-003",6,"Loyalty","Abstract","New",1,780.287633007295
"sub-003",7,"Book","Concrete","Old",1,373.030151118778
"sub-003",8,"Determination","Concrete","New",1,688.2342608863
"sub-003",9,"Hospital","Concrete","Old",1,441.199314101809
"sub-003",10,"School","Abstract","Old",1,567.934995943348
"sub-003",11,"Gratitude","Concrete","New",1,557.370189735198
"sub-003",12,"Respect","Concrete","New",1,535.85689496234
"sub-003",13,"Patience","Abstract","New",1,862.9733308994
"sub-003",14,"Peace","Abstract","New",1,501.631452860066
"sub-003",15,"Integrity","Concrete","Old",1,373.278711404497
"sub-003",16,"Trust","Concrete","New",1,360.553600162064
"sub-003",17,"Lamp","Concrete","Old",1,667.278000261849
"sub-003",18,"Dog","Abstract","New",0,763.902565739823
"sub-003",19,"Computer","Abstract","New",0,270.622051419622
"sub-003",20,"Beach","Concrete","Old",0,686.044671817124
"sub-003",21,"Beach","Abstract","Old",0,795.709395181398
"sub-003",22,"Humility","Abstract","Old",1,678.839300289768
"sub-003",23,"Apple","Abstract","Old",0,613.724974227194
"sub-003",24,"Respect","Abstract","New",1,853.239983773699
"sub-003",25,"Park","Concrete","Old",1,816.868331698638
"sub-003",26,"Friendship","Abstract","New",1,505.936951199183
"sub-003",27,"Road","Abstract","Old",1,652.891954133022
"sub-003",28,"Love","Concrete","Old",1,401.358663586685
"sub-003",29,"Table","Abstract","Old",1,815.204141780264
"sub-003",30,"Table","Concrete","Old",1,353.506483939537
"sub-003",31,"Train","Abstract","New",1,153.085471383337
"sub-003",32,"Computer","Concrete","New",0,490.770934336059
"sub-003",33,"Humility","Concrete","Old",1,129.004845236795
"sub-003",34,"Integrity","Abstract","Old",1,666.084279054614
"sub-003",35,"Tree","Concrete","New",0,431.655045779153
"sub-003",36,"Window","Concrete","Old",0,51.9254668410227
"sub-003",37,"Trust","Abstract","New",1,689.884386782814
"sub-003",38,"Camera","Concrete","New",1,503.010202077469
"sub-003",39,"Generosity","Abstract","Old",1,723.091927113433
"sub-003",40,"Creativity","Abstract","New",1,870.815215228392
"sub-003",41,"Knowledge","Concrete","Old",1,773.820463761344
"sub-003",42,"Phone","Abstract","New",1,716.139858409954
"sub-003",43,"Ambition","Concrete","Old",1,520.893698825037
"sub-003",44,"River","Concrete","Old",1,427.851824812925
"sub-003",45,"Bridge","Concrete","New",0,432.508365673434
"sub-003",46,"Tree","Abstract","New",0,557.948246958406
"sub-003",47,"Faith","Abstract","Old",1,560.981759162193
"sub-003",48,"Ambition","Abstract","Old",1,378.871844985593
"sub-003",49,"Boat","Concrete","New",0,583.895411611444
"sub-003",50,"Freedom","Abstract","Old",1,820.310987456606
"sub-003",51,"Mountain","Concrete","New",0,357.482297542558
"sub-003",52,"Chair","Concrete","Old",1,565.858613415313
"sub-003",53,"Road","Concrete","Old",1,722.350352152619
"sub-003",54,"Courage","Abstract","Old",1,651.733042939757
"sub-003",55,"Courage","Concrete","Old",1,646.62552792871
"sub-003",56,"Shoe","Concrete","Old",1,292.287251698286
"sub-003",57,"Creativity","Concrete","New",1,415.357643986822
"sub-003",58,"Boat","Abstract","New",1,308.750209406661
"sub-003",59,"House","Abstract","New",1,559.283945998825
"sub-003",60,"Hospital","Abstract","Old",1,527.548489761514
"sub-003",61,"Park","Abstract","Old",1,550.477756000939
"sub-003",62,"Justice","Abstract","Old",1,453.953714025929
"sub-003",63,"Success","Concrete","New",1,754.740119881403
"sub-003",64,"Honesty","Concrete","New",1,232.26935969579
"sub-003",65,"Car","Abstract","Old",1,531.682853633456
"sub-003",66,"Friendship","Concrete","New",1,393.186094697175
"sub-003",67,"Gratitude","Abstract","New",1,608.772658981201
"sub-003",68,"House","Concrete","New",1,715.987200118707
"sub-003",69,"Book","Abstract","Old",1,566.020233193739
"sub-003",70,"Compassion","Abstract","Old",1,328.563965634399
"sub-003",71,"Phone","Concrete","New",0,510.410391656848
"sub-003",72,"Determination","Abstract","New",1,730.381607868921
"sub-003",73,"Faith","Concrete","Old",1,302.599821837516
"sub-003",74,"Chair","Abstract","Old",1,361.436007482239
"sub-003",75,"Apple","Concrete","Old",0,477.797304833373
"sub-003",76,"Car","Concrete","Old",0,431.361022724355
"sub-003",77,"Wisdom","Concrete","New",1,523.817180442268
"sub-003",78,"Loyalty","Concrete","New",1,414.760652607811
"sub-003",79,"Lamp","Abstract","Old",1,701.30575460377
"sub-003",80,"Success","Abstract","New",1,697.595940312066
"sub-003",81,"Dog","Concrete","New",0,662.588565812227
"sub-003",82,"Hope","Abstract","New",1,544.634845855538
"sub-003",83,"Love","Abstract","Old",1,431.77636878832
"sub-003",84,"Generosity","Concrete","Old",1,347.717280347023
"sub-003",85,"River","Abstract","Old",1,952.77161121116
"sub-003",86,"Hope","Concrete","New",1,758.405774491704
"sub-003",87,"Honesty","Abstract","New",1,563.112696185949
"sub-003",88,"Patience","Concrete","New",1,294.96331383428
"sub-003",89,"Knowledge","Abstract","Old",1,274.39896069024
"sub-003",90,"Compassion","Concrete","Old",1,301.29711653907
"sub-003",91,"Wisdom","Abstract","New",1,457.851508366773
"sub-003",92,"Window","Abstract","Old",0,661.755253245444
"sub-003",93,"Peace","Concrete","New",1,255.403279435525
"sub-003",94,"School","Concrete","Old",1,161.627050018338
"sub-003",95,"Mountain","Abstract","New",1,474.193264802978
"sub-003",96,"Shoe","Abstract","Old",1,528.296282074132
"sub-003",97,"Garden","Abstract","New",1,647.764382330591
"sub-003",98,"Justice","Concrete","Old",1,259.568588784179
"sub-003",99,"Train","Concrete","New",1,606.240208655316
"sub-003",100,"Bridge","Abstract","New",1,363.758875594494
"sub-004",1,"Generosity","Abstract","New",1,528.434563972745
"sub-004",2,"Mountain","Concrete","New",0,447.452053097151
"sub-004",3,"Table","Concrete","New",1,358.924260769256
"sub-004",4,"Wisdom","Abstract","Old",1,1009.07174729852
"sub-004",5,"Apple","Concrete","Old",0,628.244997144646
"sub-004",6,"Window","Concrete","New",0,387.765772602607
"sub-004",7,"Computer","Abstract","Old",1,485.801388873604
"sub-004",8,"Phone","Concrete","Old",1,587.832212185563
"sub-004",9,"Patience","Abstract","Old",1,522.452564908378
"sub-004",10,"Friendship","Abstract","Old",1,427.253958045951
"sub-004",11,"Camera","Concrete","New",1,354.506980581441
"sub-004",12,"Lamp","Concrete","Old",0,406.071346344543
"sub-004",13,"Honesty","Abstract","Old",1,404.255288511313
"sub-004",14,"Love","Abstract","Old",1,843.288170523718
"sub-004",15,"Patience","Concrete","Old",1,852.76494216062
"sub-004",16,"Loyalty","Abstract","Old",1,699.24390242482
"sub-004",17,"Knowledge","Abstract","Old",1,609.11190312049
"sub-004",18,"Determination","Abstract","New",1,201.822763837472
"sub-004",19,"Apple","Abstract","Old",1,555.091228642476
"sub-004",20,"Justice","Abstract","Old",1,169.643339753243
"sub-004",21,"Bridge","Concrete","New",1,526.763702867153
"sub-004",22,"Book","Concrete","New",0,78.6924738343328
"sub-004",23,"Success","Abstract","New",1,663.091193764296
"sub-004",24,"Generosity","Concrete","New",1,525.602800396736
"sub-004",25,"Compassion","Concrete","New",1,486.382628258447
"sub-004",26,"School","Abstract","Old",1,413.285643040786
"sub-004",27,"Humility","Abstract","New",1,1152.34867265944
"sub-004",28,"Friendship","Concrete","Old",1,162.172632272417
"sub-004",29,"Phone","Abstract","Old",1,565.515794805721
"sub-004",30,"Faith","Concrete","Old",1,601.420724005253
"sub-004",31,"Hospital","Concrete","New",1,356.210338987105
"sub-004",32,"Car","Abstract","New",1,921.274853802703
"sub-004",33,"Ambition","Abstract","New",1,510.584353918525
"sub-004",34,"House","Concrete","New",0,459.165099438052
"sub-004",35,"Table","Abstract","New",1,283.629057260346
"sub-004",36,"Determination","Concrete","New",1,723.347371696435
"sub-004",37,"Happiness","Concrete","Old",1,778.866880683369
"sub-004",38,"Integrity","Concrete","New",1,511.238263129923
"sub-004",39,"Faith","Abstract","Old",1,732.748510210133
"sub-004",40,"Integrity","Abstract","New",1,565.084220110807
"sub-004",41,"Beach","Abstract","Old",1,612.22121668724
"sub-004",42,"Book","Abstract","New",1,376.462151287536
"sub-004",43,"Gratitude","Abstract","Old",1,285.69953146731
"sub-004",44,"Chair","Abstract","Old",1,639.726364949724
"sub-004",45,"Loyalty","Concrete","Old",1,445.592991119035
"sub-004",46,"Freedom","Abstract","New",1,466.635549547007
"sub-004",47,"Gratitude","Concrete","Old",1,1009.15436756976
"sub-004",48,"Dog","Abstract","New",1,507.696317450304
"sub-004",49,"Camera","Abstract","New",1,271.662525346801
"sub-004",50,"Humility","Concrete","New",1,531.569989557355
"sub-004",51,"Knowledge","Concrete","Old",1,250.504580125341
"sub-004",52,"Park","Concrete","Old",1,665.541653395572
"sub-004",53,"Dog","Concrete","New",1,538.390815292588
"sub-004",54,"Happiness","Abstract","Old",1,246.711356023623
"sub-004",55,"Tree","Abstract","Old",1,859.654526220256
"sub-004",56,"Freedom","Concrete","New",1,671.749477637908
"sub-004",57,"Road","Concrete","Old",1,411.553817473027
"sub-004",58,"Boat","Abstract","New",1,381.918881742359
"sub-004",59,"Honesty","Concrete","Old",1,703.751791559043
"sub-004",60,"Park","Abstract","Old",1,411.503552082964
"sub-004",61,"Mountain","Abstract","New",1,410.207348890937
"sub-004",62,"Creativity","Abstract","New",1,556.595319325192
"sub-004",63,"Window","Abstract","New",1,553.054731055092
"sub-004",64,"Trust","Abstract","Old",1,526.495228810299
"sub-004",65,"Road","Abstract","Old",1,481.80395060588
"sub-004",66,"Trust","Concrete","Old",1,895.991699174
"sub-004",67,"Courage","Concrete","Old",1,550.639763031558
"sub-004",68,"Respect","Abstract","New",1,923.885054672416
"sub-004",69,"Garden","Concrete","New",1,504.070500672351
"sub-004",70,"Respect","Concrete","New",1,456.847000365947
"sub-004",71,"Lamp","Abstract","Old",1,491.952786951763
"sub-004",72,"Train","Concrete","Old",0,733.230172728306
"sub-004",73,"Success","Concrete","New",1,670.271412136184
"sub-004",74,"Hope","Abstract","New",1,710.1959873682
"sub-004",75,"Wisdom","Concrete","Old",1,717.710344706949
"sub-004",76,"Shoe","Abstract","Old",1,634.367822189602
"sub-004",77,"Ambition","Concrete","New",1,313.962380327701
"sub-004",78,"Justice","Concrete","Old",1,200.155833308173
"sub-004",79,"Shoe","Concrete","Old",1,433.289400668325
"sub-004",80,"Courage","Abstract","Old",1,581.772144621326
"sub-004",81,"Car","Concrete","New",0,715.707751433646
"sub-004",82,"Beach","Concrete","Old",1,256.839403713578
"sub-004",83,"Peace","Concrete","New",1,187.792253462489
"sub-004",84,"Chair","Concrete","Old",1,450.187098990685
"sub-004",85,"River","Abstract","New",1,604.429229419405
"sub-004",86,"Tree","Concrete","Old",1,339.833880845848
"sub-004",87,"Love","Concrete","Old",1,285.481812229374
"sub-004",88,"Hope","Concrete","New",1,590.034548175595
"sub-004",89,"River","Concrete","New",1,351.222120585258
"sub-004",90,"Hospital","Abstract","New",1,316.84898748337
"sub-004",91,"School","Concrete","Old",1,648.829213192116
"sub-004",92,"Computer","Concrete","Old",0,201.021137886732
"sub-004",93,"Garden","Abstract","New",1,499.364475185565
"sub-004",94,"Bridge","Abstract","New",1,402.737967152684
"sub-004",95,"House","Abstract","New",1,441.623156453308
"sub-004",96,"Boat","Concrete","New",1,287.973351376815
"sub-004",97,"Peace","Abstract","New",1,279.749762058963
"sub-004",98,"Creativity","Concrete","New",1,125.450044251395
"sub-004",99,"Train","Abstract","Old",1,577.58485143433
"sub-004",100,"Compassion","Abstract","New",1,809.671701149264
"sub-005",1,"School","Concrete","New",0,428.350012329856
"sub-005",2,"Loyalty","Concrete","Old",1,377.150143963314
"sub-005",3,"River","Concrete","New",1,424.026534500303
"sub-005",4,"Freedom","Concrete","New",1,348.127307689414
"sub-005",5,"Park","Abstract","New",1,65.6076579761084
"sub-005",6,"Wisdom","Abstract","Old",1,279.418818811746
"sub-005",7,"Friendship","Abstract","Old",1,596.71674158869
"sub-005",8,"Book","Abstract","New",1,595.961033363281
"sub-005",9,"Boat","Concrete","Old",1,487.434398024279
"sub-005",10,"Happiness","Abstract","New",1,772.776230897502
"sub-005",11,"Justice","Abstract","Old",1,230.429782538933
"sub-005",12,"Table","Concrete","New",1,462.155718976509
"sub-005",13,"Determination","Abstract","Old",1,701.189114260444
"sub-005",14,"Apple","Concrete","New",0,733.661075749356
"sub-005",15,"Respect","Abstract","New",1,342.914134086546
"sub-005",16,"Hospital","Abstract","Old",0,719.034803654462
"sub-005",17,"Success","Concrete","Old",1,452.612946485229
"sub-005",18,"Integrity","Concrete","Old",1,483.263044792473
"sub-005",19,"Hope","Concrete","New",1,408.636971311439
"sub-005",20,"Honesty","Abstract","Old",1,402.039910771419
"sub-005",21,"Window","Abstract","Old",1,449.080480733017
"sub-005",22,"Happiness","Concrete","New",1,411.916316382615
"sub-005",23,"Ambition","Concrete","Old",1,511.027603807433
"sub-005",24,"School","Abstract","New",0,462.35949811484
"sub-005",25,"Car","Abstract","Old",1,472.028472631359
"sub-005",26,"Friendship","Concrete","Old",1,442.416894465933
"sub-005",27,"Generosity","Abstract","New",1,333.448117789516
"sub-005",28,"Knowledge","Concrete","New",1,115.158936246136
"sub-005",29,"Window","Concrete","Old",1,794.176187645786
"sub-005",30,"Love","Concrete","Old",1,365.534716354506
"sub-005",31,"Lamp","Abstract","New",1,385.564092711719
"sub-005",32,"Book","Concrete","New",1,644.253700374532
"sub-005",33,"Tree","Abstract","New",1,790.818397557467
"sub-005",34,"Shoe","Abstract","Old",1,809.097835350285
"sub-005",35,"Respect","Concrete","New",1,463.500074397296
"sub-005",36,"Freedom","Abstract","New",1,574.766106368923
"sub-005",37,"Ambition","Abstract","Old",1,626.996020678271
"sub-005",38,"Love","Abstract","Old",1,675.217120102441
"sub-005",39,"Integrity","Abstract","Old",1,550.291489094056
"sub-005",40,"Creativity","Abstract","Old",1,539.029586953042
"sub-005",41,"Camera","Abstract","New",1,474.855119705196
"sub-005",42,"Park","Concrete","New",1,658.868942797789
"sub-005",43,"Mountain","Abstract","Old",1,833.261721769501
"sub-005",44,"Courage","Concrete","Old",1,258.176413966492
"sub-005",45,"Courage","Abstract","Old",1,510.350579006207
"sub-005",46,"Trust","Abstract","New",1,640.974201887949
"sub-005",47,"Faith","Abstract","New",1,857.981482730646
"sub-005",48,"Beach","Concrete","New",1,373.157307869539
"sub-005",49,"Compassion","Abstract","New",1,695.410778188776
"sub-005",50,"Train","Abstract","New",0,298.920815238939
"sub-005",51,"Car","Concrete","Old",1,389.711520970659
"sub-005",52,"Wisdom","Concrete","Old",1,-152.637706484166
"sub-005",53,"Chair","Concrete","Old",0,334.233955311811
"sub-005",54,"Dog","Abstract","New",1,416.297709612307
"sub-005",55,"Loyalty","Abstract","Old",1,636.401511834076
"sub-005",56,"Garden","Concrete","New",0,405.730974383269
"sub-005",57,"Humility","Concrete","New",1,309.201309073968
"sub-005",58,"Apple","Abstract","New",0,803.377602220225
"sub-005",59,"Road","Abstract","Old",1,308.215729807779
"sub-005",60,"Peace","Abstract","Old",1,406.676672754946
"sub-005",61,"Camera","Concrete","New",0,437.747024381209
"sub-005",62,"Success","Abstract","Old",1,669.077561184923
"sub-005",63,"Generosity","Concrete","New",1,461.41905781578
"sub-005",64,"Knowledge","Abstract","New",1,608.379180721397
"sub-005",65,"Tree","Concrete","New",1,911.237872352359
"sub-005",66,"Computer","Abstract","New",1,868.465157590406
"sub-005",67,"Gratitude","Abstract","New",1,540.092609605728
"sub-005",68,"Humility","Abstract","New",1,899.478778964137
"sub-005",69,"Peace","Concrete","Old",1,652.812683029083
